raw.41_Ctrl_60_MB_02	raw.43_Ctrl_60_MUB_02	raw.45_Ctrl_60_cyt_02	raw.47_Ctrl_60_cytUB_02	raw.13_Ctrl_5_cyt_02	raw.14_Ctrl_5_MB_02	raw.01_Ctrl_5_cyt_01	raw.02_Ctrl_5_MB_01	raw.05_Ctrl_15_cyt_01	raw.06_Ctrl_15_MB_01	raw.17_Ctrl_5_cyt_03	raw.18_Ctrl_5_MB_03	raw.21_Ctrl_15_cyt_02	raw.22_Ctrl_15_MB_02	raw.25_Ctrl_15_cyt_03	raw.26_Ctrl_15_MB_03	raw.29_Ctrl_60_cyt_03	raw.30_Ctrl_60_MB_03	raw.33_Ctrl_60_cytUB_01	raw.35_Ctrl_60_MUB_01	raw.37_Ctrl_60_cyt_01	raw.39_Ctrl_60_MB_01
chr1_2911381_2911447_-	0	0	1	2	1	6	1	2	1	6	11	5	7	17	1	9	0	4	0	1	1	4
chr14_22622344_22622356_+	0	0	3	3	2	1	2	0	3	2	1	2	5	1	1	2	5	1	1	0	1	1
chr14_80534453_80534481_-	0	0	1	2	6	2	1	1	4	1	1	2	2	0	8	2	3	1	0	0	1	1
chr14_82777482_82777483_+	0	0	1	2	3	1	0	0	2	0	1	0	3	0	4	0	3	1	0	0	1	1
chr17_79770394_79770418_+	0	3	3	4	12	0	3	3	2	2	17	7	17	5	14	5	7	1	0	0	4	1
chr19_35107448_35107503_-	0	2	2	2	2	0	0	0	0	1	5	2	1	2	2	0	1	1	1	0	3	2
chr20_3752116_3752117_-	0	0	1	2	0	0	0	0	2	0	0	0	0	0	2	2	2	2	0	0	1	1
chr20_38639684_38639685_+	0	3	3	4	4	2	0	0	5	2	0	1	4	1	4	4	3	0	0	0	4	1
chr2_189780873_189780884_-	0	1	2	4	0	0	2	0	2	3	3	0	1	1	8	2	1	0	1	0	4	2
chr2_191397602_191397606_+	0	3	2	5	0	1	3	1	4	2	1	2	6	1	5	2	4	0	0	0	6	2
chr2_217964131_217964200_+	0	0	2	8	24	1	16	1	29	2	32	4	41	6	36	1	27	0	2	0	12	1
chr2_234130319_234130338_+	1	2	17	48	12	6	7	4	12	9	15	2	16	7	19	10	14	6	9	0	24	5
chr2_26295701_26295713_+	0	0	1	2	4	3	3	1	7	4	2	0	6	4	7	3	4	1	0	0	1	1
chr3_146206452_146206532_-	0	2	2	2	0	0	3	0	2	2	2	0	3	1	4	2	5	1	0	1	5	1
chr3_3674577_3674672_+	1	2	2	2	3	0	2	3	2	4	2	4	1	3	0	4	2	1	0	0	1	0
chr3_63249996_63250021_-	0	1	2	4	3	2	1	0	2	2	0	1	4	2	1	1	1	0	1	0	4	2
chr4_163014541_163014542_-	0	0	1	2	0	2	1	2	1	2	0	0	0	2	4	2	1	1	0	0	1	1
chr5_159553573_159553619_+	0	3	3	8	3	0	3	0	4	1	3	4	3	2	4	0	2	0	0	0	10	1
chr5_169534854_169534855_+	0	2	1	2	0	6	0	7	0	15	1	10	1	11	3	11	1	8	0	0	0	6
chr5_172102950_172102977_-	2	2	2	5	1	0	2	1	1	2	0	3	4	1	2	3	1	1	0	0	2	0
chr5_51724611_51724644_+	2	3	4	19	14	5	12	1	19	2	16	5	20	5	16	4	17	4	0	0	9	0
chr5_60919986_60920002_-	0	4	11	24	4	2	2	3	5	2	13	2	6	5	9	3	7	1	1	0	15	1
chr6_126664310_126664404_-	2	2	0	4	0	0	3	0	1	1	4	2	8	2	0	0	0	0	0	0	4	0
chr6_73013366_73013367_+	0	0	3	0	0	0	2	0	1	0	1	0	4	0	2	0	3	1	1	0	1	0
chr7_10396920_10396921_-	0	0	1	2	1	0	0	1	1	2	1	0	0	1	2	3	1	2	0	0	1	1
chr8_123481724_123481725_+	0	0	1	2	1	0	1	2	1	1	0	1	0	0	3	1	1	0	0	0	1	1
chr8_47725299_47725300_-	0	0	3	7	4	2	1	0	3	1	4	0	6	0	4	0	5	1	0	0	4	0
chr8_68451726_68451727_-	1	2	2	2	1	0	1	2	3	0	3	1	3	1	4	3	2	1	0	0	1	0
chr9_74825782_74825784_+	0	0	1	2	1	2	1	5	1	4	0	5	1	3	1	3	3	5	0	0	1	1
chrX_22209279_22209330_+	0	1	1	2	8	0	9	3	5	0	29	5	20	3	16	5	8	3	0	0	5	0
chrX_7781909_7781977_-	0	3	3	8	16	2	9	1	10	1	25	2	10	3	21	1	7	2	0	0	10	1
chr4_56860100_56860102_+	0	0	1	2	1	0	1	4	2	1	0	1	1	2	5	3	1	2	0	0	1	1
chr2_54000320_54000386_+	0	2	4	4	3	3	1	1	2	5	5	2	4	4	4	6	9	2	6	2	10	7
chr4_160936797_160936798_-	0	0	3	7	2	0	1	0	1	0	3	2	2	1	3	1	1	0	0	0	4	0
chr20_1416655_1416708_-	0	4	4	8	13	7	6	6	5	5	6	4	14	19	15	17	5	10	0	0	2	5
chr12_34093329_34093389_+	0	2	2	1	2	0	2	0	2	1	0	0	1	1	6	0	4	0	1	1	6	1
chr14_86633965_86633966_-	2	0	0	1	2	1	0	0	1	0	0	0	0	4	1	2	0	2	0	1	1	1
chr15_46936364_46936463_+	1	0	0	1	1	0	1	2	1	3	1	1	4	0	6	1	3	2	1	0	2	1
chr1_76757048_76757049_-	0	1	1	2	0	1	1	0	2	1	0	2	0	0	0	0	1	1	0	0	5	0
chr14_17440036_17440125_-	0	0	2	1	3	0	1	0	4	3	1	0	1	1	2	1	0	0	3	1	4	3
chr3_167508910_167508978_+	0	2	8	8	1	3	6	0	9	3	15	3	9	3	7	1	8	3	2	1	4	2
chr9_9199242_9199270_+	0	2	5	1	2	1	1	3	4	2	4	1	0	5	2	8	2	2	1	1	4	0
chr10_54401478_54401479_+	1	0	0	2	1	0	0	1	1	0	1	0	1	2	3	0	0	0	0	0	1	0
chr1_209616953_209616989_+	1	0	0	2	2	0	7	0	4	0	2	1	4	1	1	0	3	1	0	0	1	0
chr12_11446554_11446565_-	1	0	0	2	1	0	0	0	3	5	2	3	3	3	1	5	4	2	0	0	1	0
chr1_246422501_246422536_-	1	0	0	2	0	2	0	2	2	3	2	1	2	3	1	2	0	2	0	0	1	0
chr1_251488027_251488102_+	0	0	2	4	3	3	2	4	4	3	3	1	4	2	2	1	5	1	1	1	4	3
chr1_78777147_78777150_-	1	0	0	2	0	2	1	2	3	3	0	2	0	8	1	6	0	1	0	0	1	0
chr19_25900020_25900031_-	1	3	0	1	1	1	0	4	1	4	1	0	1	5	2	7	0	1	0	0	1	4
chr19_53217838_53217839_-	1	0	0	2	3	0	0	0	1	1	0	0	1	0	1	3	1	0	0	0	1	0
chr3_155012111_155012138_-	1	0	0	2	5	0	0	0	2	0	4	0	5	0	7	0	3	0	0	0	1	0
chr4_7409073_7409074_-	2	0	0	1	0	0	0	1	0	0	1	3	0	2	0	0	0	0	0	1	1	1
chr5_156723809_156723884_+	1	0	0	2	1	6	1	1	0	8	1	4	1	8	0	3	2	3	0	0	1	0
chr5_58104916_58104992_+	5	23	33	60	73	18	44	13	79	41	62	11	62	23	69	40	67	18	15	4	72	11
chr7_80299616_80299619_-	1	0	0	2	3	0	1	0	2	0	6	0	3	1	5	1	0	0	0	0	1	0
chrX_58816148_58816155_+	1	0	0	2	3	0	5	0	5	1	19	1	17	2	3	1	2	1	0	0	1	0
chr10_19774000_19774031_-	1	1	3	5	10	2	5	1	6	5	11	3	15	7	10	5	7	4	3	0	4	3
chr15_2568981_2568983_-	7	6	5	17	3	6	4	11	4	12	1	8	12	11	6	11	5	9	1	3	2	13
chr2_199147049_199147051_+	1	4	4	18	2	3	2	0	5	6	6	0	8	4	6	7	6	0	0	0	10	3
chr4_161045659_161045666_-	1	0	0	1	0	0	2	0	2	0	2	3	1	0	1	2	0	0	1	0	2	1
chr5_166704376_166704462_+	1	5	2	2	2	2	0	3	1	9	0	0	1	4	2	6	1	2	0	1	2	4
chr8_24959277_24959360_+	2	3	12	25	39	9	20	5	38	9	14	4	33	12	35	5	14	5	9	1	21	4
chr5_150731249_150731260_+	0	3	1	0	5	5	1	2	5	0	5	2	5	4	8	3	4	4	0	0	3	1
chr10_27087212_27087226_-	2	3	0	1	1	7	0	9	0	11	1	5	1	8	3	15	1	5	0	2	1	6
chr1_84085111_84085164_-	2	1	2	10	1	0	1	2	1	0	0	4	0	0	3	1	0	2	1	0	2	5
chr1_85600660_85600661_+	0	0	1	3	1	0	0	0	2	1	4	1	2	0	1	0	1	1	2	0	7	1
chr19_11412411_11412497_-	2	4	11	16	15	6	8	6	14	5	29	13	24	13	23	12	12	7	7	0	11	3
chr10_6959625_6959663_+	1	1	3	3	3	3	2	0	4	3	5	2	1	0	3	0	0	0	2	1	3	2
chr8_19898360_19898457_+	0	1	4	6	7	1	1	0	7	3	10	0	10	3	5	6	7	0	0	0	3	0
chr7_115911553_115911555_-	3	1	3	9	5	3	4	3	2	7	3	6	3	11	2	10	2	2	1	4	6	6
chr10_68467226_68467279_+	0	0	0	1	1	0	2	0	2	0	7	0	4	3	2	1	1	0	0	0	2	2
chr12_9196035_9196037_-	0	0	1	4	3	0	0	1	0	3	1	0	2	0	1	0	1	0	0	0	6	0
chr1_29761619_29761620_+	0	2	4	5	1	0	7	0	4	1	2	1	2	1	2	0	3	1	2	0	6	1
chr15_106763505_106763571_-	0	2	3	5	2	2	4	2	3	0	4	1	3	2	3	3	5	1	1	0	9	0
chr19_41124365_41124427_-	2	3	0	2	2	8	2	2	2	4	2	7	3	6	0	16	0	12	0	1	2	4
chr4_125656591_125656662_+	1	3	2	4	5	0	1	2	1	2	13	4	10	5	7	5	2	4	0	0	2	2
chr8_45962031_45962080_-	1	3	2	4	7	9	4	3	5	7	7	8	5	11	11	15	9	4	0	0	2	2
chr17_10946935_10947010_-	0	2	2	0	2	1	1	1	0	1	1	1	0	3	2	3	1	3	1	0	6	0
chr4_149657306_149657309_-	3	1	0	2	0	2	0	5	0	3	2	9	1	9	0	4	0	1	1	1	2	2
chr15_12125788_12125842_-	2	3	11	2	4	1	3	1	5	2	6	3	3	4	5	0	5	4	4	1	2	1
chr5_75857537_75857555_+	1	2	1	3	2	1	0	0	3	3	4	2	7	4	2	0	2	1	0	0	4	0
chr4_56859117_56859119_+	0	0	0	1	4	0	3	2	0	4	0	2	2	1	3	4	5	3	0	0	2	2
chr1_76288568_76288596_-	1	5	7	17	16	1	13	5	30	7	27	7	28	16	28	13	21	12	3	1	13	6
chr11_58148386_58148476_+	2	1	1	4	1	3	3	2	3	6	5	0	4	3	4	5	4	2	2	1	6	2
chr19_10859505_10859573_+	1	4	7	6	2	1	1	3	8	0	2	0	2	4	6	2	5	2	1	0	0	2
chr4_161235578_161235581_+	0	1	6	14	5	0	1	1	6	7	7	0	8	0	15	1	6	1	1	0	8	1
chr8_119103987_119103994_+	0	2	2	2	4	0	4	4	2	0	0	0	4	3	5	6	2	5	0	0	2	1
chr1_171379787_171379878_+	5	10	36	69	59	3	27	10	63	11	81	5	88	17	101	23	75	8	16	0	35	4
chr12_33391636_33391696_+	2	0	2	8	9	3	6	2	10	3	9	4	14	3	12	4	10	8	2	0	6	0
chr12_35341485_35341512_+	2	4	4	7	10	2	7	3	10	7	11	3	9	3	9	6	6	4	2	0	5	2
chr7_10829397_10829459_+	0	4	6	13	4	1	2	1	6	10	4	4	7	9	5	5	7	4	0	0	4	4
chr8_77194357_77194400_+	0	0	1	3	0	0	0	0	1	0	6	5	6	0	0	0	1	0	2	0	7	1
chr1_214836723_214836805_+	1	3	1	5	4	1	1	1	9	3	1	1	9	5	4	1	2	1	0	0	5	2
chr11_85270408_85270427_+	0	3	4	0	11	4	3	1	12	4	21	7	18	6	10	8	15	4	0	0	2	0
chr1_136168925_136168928_-	2	2	1	4	0	8	0	2	3	4	1	17	1	8	2	16	1	4	2	0	4	3
chr11_82580523_82580606_-	0	0	2	5	2	2	1	1	5	0	2	1	2	2	8	0	5	0	0	0	4	0
chr12_12049162_12049163_+	0	0	1	0	4	0	0	2	3	3	17	2	3	4	1	3	2	2	1	0	0	1
chr1_251373256_251373257_+	0	0	4	2	3	0	0	1	4	2	1	1	3	0	2	1	3	0	0	0	0	0
chr4_149507757_149507758_+	0	0	4	2	1	0	0	2	1	0	2	0	0	1	0	0	0	0	0	0	0	0
chr5_142687652_142687654_-	1	0	0	4	0	0	0	1	2	0	1	0	3	1	2	1	0	1	0	0	2	0
chr5_23477382_23477392_-	0	0	1	0	0	1	0	2	1	5	0	2	0	1	1	0	1	1	1	0	0	1
chr6_41844553_41844557_-	0	0	1	0	0	1	1	0	0	0	4	1	3	0	3	2	1	0	1	0	0	1
chr6_71853222_71853223_-	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1
chr7_103945848_103945868_+	0	0	1	4	4	1	2	1	0	1	4	0	3	1	1	0	2	0	0	0	6	0
chr7_114955878_114955957_+	4	13	15	21	21	9	9	10	18	12	11	10	16	5	16	8	16	7	8	0	18	5
chr8_123484069_123484155_+	4	11	15	19	8	9	4	9	11	9	9	9	9	7	12	14	1	3	3	4	13	4
chr10_20690862_20690864_+	1	1	2	6	2	1	1	5	1	1	4	2	2	0	1	2	2	1	1	0	5	1
chr10_77526279_77526343_-	1	1	0	1	1	1	0	3	2	9	2	5	2	9	1	2	0	6	1	1	1	6
chr13_86045196_86045200_+	0	0	1	2	2	0	3	0	2	1	7	0	6	0	4	0	1	0	0	0	3	0
chr2_224205141_224205142_-	0	1	1	3	2	0	0	0	2	1	0	1	5	0	4	2	1	0	1	0	5	2
chr3_11079151_11079215_+	0	12	13	37	16	5	14	7	22	9	39	12	35	13	33	15	18	3	1	0	23	7
chr6_56714699_56714703_+	0	0	4	2	2	0	3	1	1	0	1	2	3	0	3	0	1	1	0	0	0	0
chr8_43340931_43340933_-	1	1	3	3	1	3	5	2	8	3	1	2	4	2	9	1	5	3	0	0	0	0
chr5_129991550_129991633_-	0	0	3	2	4	0	0	0	4	0	2	0	2	0	9	0	4	0	1	0	2	0
chr1_195283482_195283488_+	1	3	1	1	0	3	0	5	0	10	0	4	0	6	1	10	0	11	0	1	0	5
chr16_7659380_7659382_+	0	1	1	1	3	0	1	0	3	1	4	1	3	1	2	3	2	1	0	1	4	1
chr13_73809887_73809971_+	1	1	1	3	1	12	1	4	0	16	1	8	1	18	1	14	1	7	1	1	2	5
chr14_49017253_49017311_+	0	4	3	2	3	0	1	0	1	2	3	0	6	1	10	0	4	1	0	0	1	2
chr11_52258217_52258290_-	0	4	7	5	12	8	6	7	14	12	8	3	10	10	9	13	7	6	7	0	8	6
chr10_82649283_82649376_+	4	4	16	18	5	3	3	2	12	3	4	2	7	5	12	6	8	1	13	3	13	7
chr5_143215556_143215643_+	0	0	1	1	7	1	1	2	5	3	8	1	8	5	9	1	5	1	1	0	4	0
chr9_42100628_42100714_+	3	0	3	8	5	3	1	2	6	2	6	1	8	2	4	8	6	1	4	0	5	1
chr16_5927149_5927236_+	3	21	11	11	5	8	0	1	3	7	6	5	4	7	3	7	4	3	5	2	12	14
chr2_28901775_28901796_-	0	2	4	3	4	0	0	2	1	0	1	0	2	1	6	0	0	1	1	0	2	1
chr3_58352040_58352092_+	3	11	17	43	99	30	83	26	104	24	179	36	186	59	171	40	128	30	19	2	64	11
chr7_114775060_114775071_-	1	2	2	4	1	4	0	2	1	0	3	2	0	1	3	4	0	2	1	1	3	4
chrX_50344049_50344079_+	1	7	8	18	7	4	4	3	4	4	5	3	14	5	11	6	3	2	0	0	4	5
chr3_9019999_9020000_+	0	1	3	5	0	0	1	0	1	3	2	1	4	1	3	3	4	3	1	0	6	0
chr3_141876318_141876399_+	3	5	8	11	7	2	12	3	18	6	24	4	20	6	31	10	12	6	5	6	19	5
chr4_160879508_160879509_-	0	1	2	6	1	0	1	1	0	0	2	5	4	4	1	2	2	2	1	0	4	4
chr7_137640559_137640571_-	0	3	4	4	3	2	2	1	3	0	6	0	4	4	5	3	4	2	0	0	2	1
chr8_15750412_15750461_+	0	0	4	2	3	0	6	0	4	1	2	0	4	1	2	3	4	0	3	0	4	0
chr2_152160971_152161034_-	1	3	6	10	4	1	1	1	1	2	4	2	4	3	3	1	4	0	3	0	5	4
chrX_123442422_123442423_+	0	0	1	3	3	2	7	2	7	2	11	2	7	1	7	2	3	1	0	0	1	2
chr14_83871925_83871963_-	2	12	43	58	44	8	29	5	39	7	90	17	70	14	98	18	66	4	6	1	34	1
chr16_19425601_19425602_+	1	1	3	6	2	1	2	1	6	0	3	1	4	1	4	1	3	0	0	0	2	0
chr2_191684647_191684702_-	5	1	0	2	3	1	0	2	3	1	2	7	4	7	2	4	0	1	0	1	1	0
chr2_181160391_181160474_-	0	0	1	2	1	1	2	0	4	0	1	1	5	1	3	1	2	1	0	0	3	0
chr13_107852306_107852307_+	1	1	0	2	1	0	0	1	1	4	3	4	2	1	2	3	0	2	1	0	2	4
chr2_172292138_172292141_-	5	5	1	4	7	14	0	12	4	23	1	9	3	20	1	20	4	15	0	3	0	10
chr8_66584074_66584162_-	2	5	5	17	12	7	7	2	16	13	20	2	29	22	27	6	21	4	2	2	15	6
chr10_105351391_105351406_-	0	0	1	2	2	0	2	1	1	0	3	0	2	3	1	3	2	0	0	0	3	0
chr1_172204359_172204446_-	0	0	1	2	4	0	2	1	2	3	1	3	1	3	1	4	3	2	0	0	3	0
chr17_53558769_53558770_-	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1
chr19_40646541_40646569_+	6	21	7	8	7	14	1	3	7	12	9	20	12	32	6	9	8	5	1	4	6	10
chr6_136452360_136452365_-	0	1	2	5	2	2	2	5	1	2	2	2	6	1	3	7	5	1	1	0	4	3
chr2_53897482_53897557_-	0	0	1	2	1	0	2	0	5	0	6	1	7	1	4	2	3	2	0	0	3	0
chr10_59953972_59954061_+	1	0	1	2	4	1	0	1	1	1	2	1	4	3	1	2	1	0	3	0	4	2
chr16_2126768_2126769_-	1	1	3	2	2	2	2	2	3	2	2	0	1	2	2	1	1	2	2	1	3	1
chr1_207773672_207773724_-	2	0	2	7	6	0	2	0	9	1	2	0	3	1	4	0	1	0	1	0	2	1
chr8_77267562_77267610_+	0	2	6	8	6	1	3	0	10	2	7	1	8	4	9	1	2	0	1	1	6	1
chr14_67418304_67418343_+	4	1	2	2	3	4	0	0	3	6	1	3	6	4	3	4	2	0	4	0	2	1
chr2_191679536_191679606_-	2	3	2	2	0	9	0	5	2	10	5	13	5	22	4	11	2	4	0	1	1	1
chr3_9417009_9417083_+	1	4	3	1	0	4	0	2	0	3	2	5	1	11	2	9	0	6	0	1	0	2
chr13_88110125_88110219_+	4	11	13	28	16	12	5	14	18	24	17	22	24	26	23	24	11	18	10	3	22	15
chr20_4962598_4962609_+	6	7	3	11	2	12	0	5	2	19	1	4	0	16	2	13	1	10	0	0	0	5
chr3_76743167_76743237_+	0	0	1	2	0	0	3	0	5	1	3	1	4	5	6	2	1	1	0	0	3	0
chr5_74863585_74863587_-	2	3	0	1	0	2	0	1	1	4	4	5	2	15	1	1	0	1	1	0	2	3
chr2_43797794_43797863_+	1	7	1	13	27	28	19	16	28	36	38	46	48	50	27	62	25	45	0	0	13	8
chr9_29466419_29466420_-	0	0	1	1	1	0	0	0	2	0	1	1	2	0	1	1	0	0	1	0	2	1
chrX_47809331_47809332_+	0	0	1	2	1	0	0	0	4	0	2	0	2	0	5	1	2	0	0	0	3	0
chr10_64350528_64350620_-	0	0	0	1	2	3	0	3	2	3	0	1	0	4	2	2	2	0	0	0	2	2
chr10_82238667_82238668_+	0	0	1	2	0	1	0	0	0	1	0	3	3	2	1	2	0	2	0	0	3	0
chr10_95310344_95310403_+	0	0	1	1	5	4	0	0	8	1	5	2	5	7	3	2	1	1	1	0	4	0
chr1_2282626_2282636_+	1	3	1	2	2	7	0	9	1	9	1	8	2	9	0	16	1	9	0	0	0	4
chr3_124806646_124806647_+	0	2	7	16	11	1	8	4	13	2	20	3	17	1	19	4	14	1	4	0	19	1
chr6_101643829_101643908_-	0	0	1	1	2	2	1	1	4	1	8	5	9	3	6	0	2	3	1	0	2	1
chr6_107737532_107737589_+	0	7	9	7	4	4	2	9	3	19	8	12	7	27	7	18	10	10	2	4	7	8
chr8_919830_919834_+	0	2	5	4	2	2	3	1	1	1	2	0	3	1	4	1	2	1	2	1	2	4
chr2_30427013_30427014_-	0	3	5	10	2	2	3	3	5	1	4	4	3	2	3	4	5	0	2	0	10	2
chr6_136773298_136773305_-	0	0	1	1	1	0	4	2	7	3	0	3	2	6	2	2	1	1	1	0	4	0
chr1_149274634_149274636_+	0	1	3	7	2	0	1	0	3	0	5	2	7	1	2	1	4	0	0	0	6	0
chr11_30226778_30226851_+	0	0	1	2	1	1	2	0	4	0	5	1	5	2	1	0	0	1	0	0	3	0
chr4_125342547_125342626_+	4	12	9	23	6	13	5	10	14	10	13	10	18	17	11	16	9	5	2	3	22	5
chr1_110729165_110729204_+	1	2	2	7	5	4	5	3	9	6	8	8	16	7	12	8	9	4	1	0	5	3
chr3_164666823_164666824_+	1	1	2	4	2	0	1	1	4	1	2	1	1	0	3	2	8	2	0	1	3	1
chr10_39935924_39935978_+	0	0	1	2	4	0	0	0	4	0	5	2	6	1	5	0	5	2	0	0	3	0
chr11_51728347_51728352_-	1	3	10	13	9	3	8	2	11	3	7	2	12	3	17	2	8	1	3	1	6	2
chr15_64162710_64162711_-	2	6	19	28	32	11	13	10	33	20	22	7	26	17	33	12	29	9	13	7	33	12
chr19_10781319_10781391_-	1	4	2	2	3	1	6	2	6	3	3	2	8	5	5	2	2	2	0	1	3	2
chr19_49882603_49882613_-	0	4	3	6	0	2	1	4	0	7	0	4	1	12	4	4	0	2	0	0	2	5
chr5_58342049_58342050_-	1	4	0	0	1	1	1	1	2	0	3	2	0	3	2	3	0	2	0	0	2	2
chr7_62882862_62882868_-	1	0	3	4	0	1	1	1	2	3	2	3	1	2	1	2	0	0	1	1	2	1
chr3_98094028_98094110_+	0	1	1	0	0	2	0	6	0	7	1	8	2	10	0	9	0	4	0	1	1	2
chr18_26826468_26826568_-	2	3	0	2	1	1	3	1	1	6	16	14	13	16	2	6	0	1	1	1	4	4
chr10_65882911_65882912_+	2	3	1	7	5	1	1	1	1	1	5	3	3	3	4	4	0	3	1	0	5	4
chr15_106787811_106787897_-	0	0	1	2	2	2	0	0	2	1	3	2	3	1	10	0	6	2	0	0	3	0
chr10_27311072_27311076_-	1	3	2	1	1	2	3	2	5	4	6	10	6	10	6	11	5	4	0	0	1	0
chr1_83509272_83509302_-	0	0	1	2	1	1	1	0	1	0	2	1	1	6	2	2	1	0	0	0	3	0
chr9_32959802_32959805_+	1	0	0	1	3	1	1	2	2	2	0	1	2	1	2	0	1	1	1	0	3	0
chr2_123054838_123054882_+	1	0	0	1	1	1	0	0	3	3	1	1	3	4	4	2	1	0	1	0	3	0
chr1_187664777_187664789_-	0	1	4	0	7	3	4	5	13	2	12	1	11	2	4	3	4	3	1	0	0	1
chr17_21538171_21538173_+	0	0	6	9	0	0	0	1	2	1	2	0	0	3	2	2	1	0	1	0	2	1
chr19_25114106_25114114_+	1	9	6	33	2	4	2	3	4	5	22	22	22	47	4	0	2	1	1	0	14	13
chr5_51809799_51809882_-	2	1	0	5	1	0	1	0	0	0	21	8	10	3	6	1	1	1	2	0	8	1
chrX_56706295_56706343_-	1	2	4	10	13	2	2	6	10	4	8	2	13	4	7	4	5	1	1	2	8	4
chr14_20573285_20573286_-	0	2	1	1	0	1	0	0	0	1	2	2	3	1	0	0	0	2	0	0	3	1
chr1_94841288_94841290_+	2	3	0	2	0	4	1	2	0	1	0	3	1	2	0	2	0	4	0	0	1	3
chr20_27423029_27423030_+	9	6	1	11	7	20	1	12	12	16	6	16	10	27	9	22	6	21	3	6	9	13
chr2_190192693_190192729_-	0	1	1	0	4	1	1	0	2	0	6	2	5	1	8	2	2	1	0	0	3	0
chr8_21117133_21117203_+	2	3	0	3	1	5	0	6	1	13	0	2	0	8	0	6	0	6	1	0	1	9
chr10_15253863_15253864_-	2	0	0	1	1	1	1	0	0	3	1	0	1	1	1	2	0	0	0	0	0	1
chr12_23537351_23537384_+	0	1	4	5	1	5	1	0	3	0	2	1	1	0	2	3	1	3	1	0	4	0
chr17_33109096_33109111_+	2	0	0	1	1	2	1	0	2	5	1	4	0	3	1	4	0	5	0	0	0	1
chr20_3074914_3074980_-	1	5	6	9	4	2	2	0	1	2	8	4	4	1	4	6	2	0	1	2	8	3
chr5_21949596_21949597_-	2	0	0	1	0	1	1	4	1	3	1	5	1	3	0	1	0	2	0	0	0	1
chr6_137730619_137730636_+	0	3	4	4	2	0	2	1	2	2	2	3	2	2	5	2	0	1	0	0	5	0
chr6_2729822_2729823_-	2	0	0	1	0	1	0	0	3	4	2	2	0	3	2	3	0	3	0	0	0	1
chr6_71710403_71710404_-	2	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
chr10_105237580_105237583_+	0	2	1	1	2	1	1	0	4	3	2	2	4	3	0	0	3	0	0	0	3	1
chr12_33316932_33316934_+	0	0	3	2	2	1	0	0	1	0	3	0	3	2	2	0	1	2	1	1	2	1
chr2_33664592_33664679_-	0	1	2	5	1	0	1	1	3	3	2	1	4	7	7	4	3	0	0	0	4	1
chr4_16101648_16101649_-	1	1	2	4	5	1	2	3	2	3	5	2	6	8	2	2	1	1	0	1	1	3
chr5_74707775_74707833_+	0	1	4	5	0	1	2	1	2	2	15	4	10	3	16	3	7	0	1	0	4	0
chr7_45556774_45556781_+	2	0	1	10	2	1	0	0	4	3	2	1	3	1	3	0	2	1	0	0	2	1
chr8_122971012_122971102_+	0	1	2	5	5	2	1	4	1	4	2	4	3	1	5	3	4	1	0	0	4	1
chrX_26731350_26731418_-	0	4	7	7	5	4	5	2	13	5	5	2	12	0	10	6	6	3	3	0	7	2
chr1_185364085_185364086_+	1	2	2	4	1	2	0	2	2	3	0	3	2	7	6	8	2	4	0	1	2	3
chr2_59847428_59847478_+	0	1	4	1	4	0	2	1	6	0	2	0	4	2	1	4	3	1	2	0	3	0
chr10_106543157_106543241_+	0	1	1	0	2	1	5	1	3	0	3	1	0	3	3	4	3	3	0	0	3	0
chr12_7062934_7062936_+	1	0	2	8	4	1	2	0	1	1	0	0	3	1	2	2	2	1	0	0	2	1
chr15_49928743_49928808_-	1	0	3	5	5	1	1	0	4	2	9	0	6	4	7	2	8	0	1	0	2	0
chr6_24994215_24994252_+	2	1	3	10	2	2	3	1	5	0	12	3	8	0	8	2	7	0	2	1	7	3
chr7_10148895_10148950_+	0	0	1	6	1	0	0	1	2	1	2	0	6	2	3	0	1	0	0	0	6	1
chr7_116633944_116633967_-	2	3	0	2	0	4	1	4	0	3	0	2	1	4	2	11	2	7	0	0	1	3
chr8_44322147_44322151_+	0	0	1	4	3	1	3	1	1	1	4	1	2	1	2	2	0	2	0	0	2	2
chr17_17636247_17636342_-	0	3	10	23	20	3	14	5	17	9	16	4	16	16	24	4	17	5	3	0	14	3
chr8_92058580_92058661_-	0	0	5	11	7	5	2	0	6	1	6	5	3	4	3	3	3	1	0	0	1	2
chr8_75020874_75020909_+	0	0	2	6	9	2	8	4	8	8	6	1	10	0	6	3	6	0	0	0	5	0
chr5_157002490_157002560_+	2	20	30	56	33	15	18	10	53	24	24	18	37	29	57	29	30	13	15	0	40	16
chr17_33352865_33352868_-	2	7	12	27	10	4	6	3	9	7	6	1	9	5	14	6	14	4	3	0	16	2
chr10_74964106_74964192_-	27	65	67	146	78	79	68	98	78	85	100	119	90	109	127	180	94	115	15	4	30	25
chr1_42111118_42111121_-	1	1	3	1	3	0	0	0	3	0	2	0	0	0	5	1	0	0	2	1	2	1
chr2_159075997_159076062_-	5	7	7	13	14	6	5	3	16	4	17	4	22	6	13	2	13	3	5	1	9	4
